COMMUNITY DISTRICT,SUPPLY_APNO2,SUPPLY_APO3,SUPPLY_RUNOFF,SUPPLY_TEMP,DEMAND_APNO2,DEMAND_APO3,DEMAND_RUNOFF,DEMAND_TEMP,MISMATCH_APNO2,MISMATCH_APO3,MISMATCH_RUNOFF,MISMATCH_TEMP
308,0.215389763,0.213671491,0.120227051,0.139018662,0.551886792,0.549056604,0.604716981,0.543396226,0.336497029,0.335385113,0.48448993,0.404377564
309,0.194140575,0.192799275,0.113822185,0.124789601,0.532038835,0.550485437,0.626213592,0.536893204,0.33789826,0.357686162,0.512391407,0.412103603
310,0.226269747,0.224230936,0.154069067,0.148811261,0.350699301,0.408391608,0.36048951,0.386363636,0.124429554,0.184160672,0.206420444,0.237552376
311,0.1316969,0.130550643,0.103560012,0.083415445,0.445804196,0.523076923,0.473776224,0.513986014,0.314107296,0.39252628,0.370216212,0.430570569
312,0.188788735,0.18738309,0.143260881,0.117072616,0.461737523,0.521256932,0.487615527,0.515341959,0.272948788,0.333873841,0.344354645,0.398269343
313,0.198226589,0.195660159,0.211926771,0.158337101,0.307281553,0.406796117,0.390291262,0.390776699,0.109054965,0.211135957,0.178364492,0.232439598
314,0.249939973,0.248468314,0.184677816,0.155605282,0.471523179,0.522295806,0.512582781,0.511258278,0.221583206,0.273827491,0.327904965,0.355652996
315,0.219529045,0.21732277,0.201693884,0.146974578,0.327358491,0.440330189,0.433726415,0.424764151,0.107829446,0.223007419,0.232032531,0.277789573
316,0.19595798,0.193635947,0.140481841,0.127743484,0.382926829,0.450609756,0.462195122,0.449390244,0.18696885,0.256973809,0.321713281,0.32164676
317,0.185807407,0.18386154,0.143685938,0.119499406,0.442105263,0.520676692,0.55112782,0.516541353,0.256297856,0.336815151,0.407441882,0.397041948
318,0.252220872,0.249300197,0.232243583,0.167229403,0.329306931,0.442178218,0.374059406,0.427920792,0.077086059,0.192878021,0.141815823,0.260691389
355,0.501425197,0.498505762,0.323768419,0.392746043,0.022222222,0.014814815,0.014814815,0.014814815,-0.479202975,-0.483690947,-0.308953604,-0.377931228
356,0.356352675,0.345185527,0.389866403,0.393753481,0,0,0,0,-0.356352675,-0.345185527,-0.389866403,-0.393753481
401,0.176500782,0.174603382,0.133956704,0.11817766,0.36587202,0.398996236,0.349309912,0.380175659,0.189371238,0.224392854,0.215353208,0.261997999
401,0.176500782,0.174603382,0.133956704,0.11817766,0.36587202,0.398996236,0.349309912,0.380175659,0.189371238,0.224392854,0.215353208,0.261997999
402,0.153365156,0.151222059,0.114133133,0.10618441,0.238839286,0.254017857,0.249776786,0.246428571,0.08547413,0.102795798,0.135643653,0.140244161
403,0.219910428,0.217658607,0.160183546,0.142737969,0.443977055,0.491013384,0.487571702,0.482217973,0.224066628,0.273354777,0.327388156,0.339480005
404,0.169033716,0.167439888,0.117807764,0.106450501,0.51025641,0.513675214,0.495299145,0.512393162,0.341222694,0.346235325,0.377491381,0.405942662
405,0.232163956,0.229170363,0.160248156,0.159203946,0.383908046,0.450574713,0.418773946,0.420498084,0.15174409,0.22140435,0.25852579,0.261294138
406,0.334921482,0.331914272,0.243382048,0.222379807,0.378431373,0.430980392,0.365490196,0.4,0.04350989,0.099066121,0.122108148,0.177620193
407,0.296756119,0.292565514,0.230365494,0.207129042,0.300931099,0.38336437,0.359528243,0.363749224,0.00417498,0.090798856,0.129162749,0.156620182
408,0.380555852,0.376508738,0.273119612,0.258499789,0.304086022,0.398064516,0.331827957,0.353978495,-0.07646983,0.021555778,0.058708345,0.095478705
409,0.244271985,0.241979171,0.185731077,0.15780805,0.386376812,0.494782609,0.44115942,0.482608696,0.142104827,0.252803438,0.255428343,0.324800646
410,0.244494637,0.240531789,0.236387516,0.173536255,0.310135841,0.410240334,0.371786834,0.407105538,0.065641204,0.169708546,0.135399318,0.233569283
411,0.397672431,0.39305751,0.307470988,0.27734867,0.260692771,0.353614458,0.27439759,0.300903614,-0.13697966,-0.039443052,-0.033073397,0.023554944
412,0.262416469,0.258662029,0.216040581,0.177034368,0.346586103,0.42429003,0.371238671,0.419335347,0.084169634,0.165628001,0.15519809,0.242300979
413,0.309304813,0.30468613,0.260720109,0.213733791,0.306341958,0.368746829,0.328767123,0.36123795,-0.002962854,0.0640607,0.068047014,0.147402688
414,0.233458536,0.228420199,0.278966148,0.215256639,0.192173018,0.342533471,0.305870237,0.318022657,-0.041285519,0.114113272,0.026904089,0.102766018
480,0.240492619,0.235835599,0.156409561,0.171387918,0,0,0,0,-0.240492619,-0.235835599,-0.156409561,-0.171387918
481,0.368672325,0.362057864,0.206880571,0.303650032,0.000980392,0.001960784,0.000980392,0.000980392,-0.367691932,-0.36009708,-0.205900178,-0.30266964
482,0.608308872,0.605297458,0.363742308,0.430179594,0.020689655,0.027586207,0.013793103,0.020689655,-0.587619216,-0.577711251,-0.349949205,-0.409489939
483,0.194607275,0.188848396,0.199199751,0.16516812,0,0,0,0,-0.194607275,-0.188848396,-0.199199751,-0.16516812
484,0.399742017,0.388609726,0.523396144,0.416424413,0.002380952,0.004761905,0.002380952,0.002380952,-0.397361064,-0.383847822,-0.521015191,-0.41404346
501,0.34929928,0.344950732,0.263778749,0.241854571,0.292720307,0.379948914,0.326181354,0.349680715,-0.056578973,0.034998182,0.062402605,0.107826145
502,0.379847909,0.373838626,0.287779769,0.287094506,0.206308725,0.335973154,0.266174497,0.311006711,-0.173539184,-0.037865472,-0.021605273,0.023912206
503,0.423670035,0.418240824,0.298000507,0.302912562,0.178503688,0.342360379,0.252054795,0.306954689,-0.245166346,-0.075880444,-0.045945713,0.004042127
595,0.405756203,0.397337387,0.400436641,0.371567449,0.04516129,0.074193548,0.038709677,0.051612903,-0.360594913,-0.323143838,-0.361726964,-0.319954546
